English,Marathi
about,बद्दल
above,उपरोक्त
accept,स्वीकार
according,त्यानुसार
account,खाते
across,ओलांडून
act,कायदा
action,क्रिया
activity,क्रियाकलाप
actually,प्रत्यक्षात
add,जोडा
address,पत्ता
administration,प्रशासन
admit,मान्य
adult,प्रौढ
affect,प्रभावित
after,नंतर
again,पुन्हा
against,विरुद्ध
age,वय
agency,एजन्सी
agent,एजंट
ago,पूर्वी
agree,सहमत
agreement,करार
ahead,पुढे
air,हवा
all,सर्व
allow,परवानगी द्या
almost,जवळजवळ
alone,एकटा
along,सोबत
already,आधीच
also,तसेच
although,जरी
always,नेहमी
American,अमेरिकन
among,दरम्यान
amount,रक्कम
analysis,विश्लेषण
and,आणि
animal,प्राणी
another,दुसरा
answer,उत्तर
any,काहीही
anyone,कोणीही
anything,काहीही
appear,प्रकट
apply,अर्ज
approach,दृष्टीकोन
area,क्षेत्र
argue,तर्क
arm,हात
around,सुमारे
arrive,आगमन
art,कला
article,लेख
artist,कलाकार
as,म्हणून
ask,विचारा
assume,गृहीत धरणे
at,येथे
attack,हल्ला
attorney,अटॉर्नी
audience,प्रेक्षक
author,लेखक
authority,प्राधिकरण
available,उपलब्ध
avoid,टाळा
away,लांब
baby,बाळ
back,परत
bad,वाईट
bag,बॅग
ball,बॉल
bank,बँक
bar,बार
base,पाया
be,व्हा
beat,बीट
beautiful,सुंदर
because,कारण
become,बनणे
bed,बेड
before,पूर्वी
begin,सुरू
behavior,वर्तणूक
behind,मागे
believe,विश्वास
benefit,फायदा
best,सर्वोत्तम
better,चांगले
between,यांच्यातील
beyond,पलीकडे
big,मोठे
bill,बिल
billion,अब्ज
bit,बिट
black,काळा
blood,रक्त
blue,निळा
board,मंडळ
body,शरीर
book,पुस्तक
born,जन्म
both,दोन्ही
box,बॉक्स
boy,मुलगा
break,ब्रेक
bring,आणा
brother,भाऊ
budget,बजेट
build,बिल्ड
building,इमारत
business,व्यवसाय
but,परंतु
buy,खरेदी
by,द्वारे
camera,कॅमेरा
campaign,मोहिम
can,करू शकता
cancer,कर्करोग
candidate,उमेदवार
capital,भांडवल
car,गाडी
card,कार्ड
care,काळजी
career,करियर
carry,वाहून नेणे
case,केस
catch,झेल
cause,कारण
cell,सेल
center,केंद्र
central,केंद्र
century,शताब्दी
certain,निश्चित
certainly,निश्चितच
chair,खुर्ची
challenge,आव्हान
chance,संधी
change,बदल
character,वर्ण
charge,चार्ज
check,तपासा
child,मूल
choice,निवड
choose,निवडा
church,चर्च
citizen,नागरिक
city,शहर
civil,नागरी
claim,दावा
class,वर्ग
clear,स्वच्छ
clearly,स्पष्टपणे
close,बंद
coach,प्रशिक्षक
cold,थंड
collection,संग्रह
college,कॉलेज
color,रंग
come,ये
commercial,व्यावसायिक
common,सामान्य
community,समुदाय
company,कंपनी
compare,तुलना करणे
computer,संगणक
concern,चिंता
condition,अट
conference,परिषद
Congress,काँग्रेस
consider,विचार
consumer,ग्राहक
contain,समाविष्ट आहे
continue,सुरू
control,नियंत्रण
cost,किंमत
could,शक्य आहे
country,देश
couple,जोडी
course,अभ्यासक्रम
court,कोर्ट
cover,झाकण
create,तयार करा
crime,गुन्हा
cultural,सांस्कृतिक
culture,संस्कृती
cup,कप
current,वर्तमान
customer,ग्राहक
cut,कट
dark,गडद
data,डेटा
daughter,मुलगी
day,दिवस
dead,मृत
deal,करार
death,मृत्यू
debate,वादविवाद
decade,दशकात
decide,निर्णय घ्या
decision,निर्णय
deep,खोल
defense,संरक्षण
degree,पदवी
Democrat,डेमोक्रॅट
democratic,लोकशाही
describe,वर्णन करणे
design,रचना
despite,असूनही
detail,तपशील
determine,निश्चित करा
develop,विकसित
development,विकास
die,मरतात
difference,फरक
different,भिन्न
difficult,कठीण
dinner,रात्रीचे जेवण
direction,दिशा
director,संचालक
discover,शोधा
discuss,चर्चा
discussion,चर्चा
disease,आजार
do,करा
doctor,डॉक्टर
dog,कुत्रा
door,दरवाजा
down,खाली
draw,ड्रॉ
dream,स्वप्न
drive,ड्राइव्ह
drop,थेंब
drug,औषध
during,दरम्यान
each,प्रत्येक
early,लवकर
east,पूर्व
easy,सोपे
eat,खा
economic,आर्थिक
economy,अर्थव्यवस्था
edge,धार
education,शिक्षण
effect,प्रभाव
effort,प्रयत्न
eight,आठ.
either,एकतर
election,निवडणूक
else,अन्यथा
employee,कर्मचारी
end,शेवट
energy,ऊर्जा
enjoy,आनंद घ्या
enough,पुरेसा
enter,प्रविष्ट
entire,संपूर्ण
environment,पर्यावरण
environmental,पर्यावरणविषयक
especially,विशेषतः.
establish,स्थापित करा
even,अगदी
evening,संध्याकाळ
event,कार्यक्रम
ever,कधीही
every,प्रत्येक
everybody,प्रत्येकजण
everyone,प्रत्येकजण
everything,सर्वकाही
evidence,पुरावा
exactly,नक्की
example,उदाहरण
executive,कार्यकारी
exist,अस्तित्वात आहे
expect,अपेक्षा
experience,अनुभव
expert,तज्ञ
explain,स्पष्ट करणे
eye,डोळा
face,चेहरा
fact,तथ्य
factor,घटक
fail,अपयशी
fall,पडणे
family,कुटुंब
far,फारच
fast,वेगवान
father,वडील
fear,भय
federal,फेडरल
feel,अनुभव
feeling,भावना
few,काही
field,फील्ड
fight,लढा
figure,आकृती
fill,भरा
film,चित्रपट
final,अंतिम
finally,शेवटी
financial,आर्थिक
find,शोधणे
fine,दंड
finger,बोट
finish,समाप्त
fire,आग
firm,टणक
first,पहिला
fish,मासे
five,पाच
floor,मजला
fly,फ्लाय
focus,फोकस
follow,अनुसरण करा
food,अन्न
foot,पाय
for,च्या साठी
foreign,परदेशी
forget,विसरून जाणे
form,फॉर्म
former,माजी
forward,पुढे
four,चार
free,फुकट
friend,मित्र
from,पासून
front,समोर
full,पूर्ण
fund,निधी
future,भविष्य
garden,गार्डन
gas,गॅस
general,सामान्य
generation,पिढी
get,मिळवा
girl,मुलगी
give,द्या
glass,ग्लास
go,जा
goal,लक्ष्य
good,चांगले
government,सरकार
great,छान
green,ग्रीन
ground,जमीन
group,गट
grow,वाढ
growth,वाढ
guess,अंदाज
gun,तोफा
guy,माणूस
hair,केस
half,अर्धा
hand,हात
hang,फाशी देणे
happen,घडते
happy,आनंदी
hard,कठोर
have,आहे
he,तो
head,डोके
health,आरोग्य
hear,ऐका
heart,हृदय
heat,उष्णता
heavy,जोरदार
help,मदत
her,तिला
here,येथे
herself,स्वत: ला
high,उच्च
him,त्याला
himself,स्वतःला
his,त्याचा
history,इतिहास
hit,हिट
hold,धरून ठेवा
home,मुख्यपृष्ठ
hope,आशा
hospital,हॉस्पिटल
hot,गरम
hotel,हॉटेल
hour,तास
house,घर
how,कसे
however,तथापि
huge,प्रचंड
human,मानव
hundred,शंभर
husband,नवरा
I,मी
idea,कल्पना
identify,ओळखा
if,तर
image,प्रतिमा
imagine,कल्पना करा
impact,प्रभाव
important,महत्वाचे
improve,सुधारणा
in,मध्ये
include,समाविष्ट करणे
including,समावेश
increase,वाढ
indeed,खरंच
indicate,सूचित
individual,व्यक्ती
industry,उद्योग
information,माहिती
inside,आत
instead,त्याऐवजी
institution,संस्था
interest,व्याज
interesting,मनोरंजक
international,आंतरराष्ट्रीय
interview,मुलाखत
into,मध्ये
investment,गुंतवणूक
involve,समाविष्ट करणे
issue,समस्या
it,ते
item,आयटम
its,त्याचे
itself,स्वतः
job,नोकरी
join,सामील व्हा
just,फक्त
keep,ठेवा
key,की
kid,मुलगा
kill,ठार
kind,प्रकार
kitchen,स्वयंपाकघर
know,माहित आहे
knowledge,ज्ञान
land,जमीन
language,इंग्रजी
large,मोठे
last,शेवटचे
late,उशीरा
later,नंतर
laugh,हसणे
law,कायदा
lawyer,वकील
lay,घालणे
lead,आघाडी
leader,लीडर
learn,शिका
least,किमान
leave,सोडा
left,डावीकडे
leg,पाय
legal,कायदेशीर
less,कमी
let,लिहा
letter,पत्र
level,स्तर
lie,खोटे बोलणे
life,जीवन
light,प्रकाश
like,सारखे
likely,संभाव्यत:
line,ओळ
list,यादी
listen,ऐका
little,थोडे
live,राहतात
local,स्थानिक
long,लांब
look,दिसत
lose,गमावणे
loss,तोटा
lot,भरपूर
love,प्रेम
low,कमी
machine,मशीन
magazine,पत्रिका
main,मुख्य
maintain,राखून ठेवा
major,प्रमुख
majority,बहुमत
make,तयार करा
man,मनुष्य
manage,व्यवस्थापित करा
management,व्यवस्थापन
manager,व्यवस्थापक
many,अनेक
market,बाजार
marriage,लग्न
material,साहित्य
matter,पदार्थ
may,मे
maybe,कदाचित
me,मी
mean,याचा अर्थ
measure,मोजमाप
media,मीडिया
medical,वैद्यकीय
meet,भेट
meeting,बैठक
member,सदस्य
memory,मेमरी
mention,उल्लेख
message,संदेश
method,पद्धत
middle,मध्यम
might,कदाचित
military,सैन्य
million,दशलक्ष
mind,मन
minute,मिनिट
miss,मिस
mission,मिशन
model,मॉडेल
modern,आधुनिक
moment,क्षण
money,पैसे
more,अधिक
morning,सकाळी
most,सर्वात जास्त
mother,आई
mouth,तोंड
move,हलवा
movement,चळवळ
movie,चित्रपट
Mr,श्री
Mrs,सौ
much,बरेच
music,संगीत
must,हे केलेच पाहिजे
my,माझे
myself,स्वतः
name,नाव
nation,राष्ट्र
national,राष्ट्रीय
natural,नैसर्गिक
nature,निसर्ग
near,जवळ
nearly,जवळजवळ
necessary,आवश्यक
need,गरज
network,नेटवर्क
never,कधीही नाही
new,नवीन
news,बातम्या
newspaper,वृत्तपत्र
next,पुढे
nice,छान
night,रात्र
no,नाही
none,काहीही नाही
nor,नाही
north,उत्तर
not,नाही
note,नोट
nothing,काहीही नाही
notice,सूचना
now,आता
n't,नाही
number,संख्या
occur,घडते
of,च्या
off,बंद
offer,ऑफर
office,कार्यालय
officer,अधिकारी
official,अधिकृत
often,सहसा
oil,तेल
ok,ठीक आहे
old,जुन्या
on,चालू
once,एकदा
one,एक
only,फक्त
open,उघडा
operation,ऑपरेशन
opportunity,संधी
option,पर्याय
or,किंवा
order,ऑर्डर
organization,संस्था
other,इतर
others,इतर
our,आमचे
out,बाहेर
outside,बाहेर
over,प्रती
own,मालकीचे
owner,मालक
page,पृष्ठ
pain,वेदना
paper,पेपर
parent,पालक
part,भाग
participant,सहभागी
particular,विशेष
particularly,विशेषतः.
partner,भागीदार
party,पार्टी
pass,पास
past,भूतकाळ
patient,रुग्ण
pattern,नमुना
pay,वेतन
peace,शांती
people,लोक
per,प्रति
perform,कार्य करणे
performance,कामगिरी
perhaps,कदाचित
period,कालावधी
person,व्यक्ती
personal,वैयक्तिक
phone,फोन
physical,भौतिक
pick,निवडा
picture,चित्र
piece,तुकडा
place,जागा
plan,योजना
plant,वनस्पती
play,खेळ
player,खेळाडू
PM,पंतप्रधान
point,पॉइंट
police,पोलिस
policy,धोरण
political,राजकीय
politics,राजकारण
poor,गरीब
popular,लोकप्रिय
population,लोकसंख्या
position,स्थिती
positive,सकारात्मक
possible,शक्य
power,शक्ती
practice,सराव
prepare,तयार करा
present,उपस्थित
president,अध्यक्ष
pressure,दबाव
pretty,सुंदर
prevent,प्रतिबंधित
price,किंमत
private,खाजगी
probably,कदाचित
problem,समस्या
process,प्रक्रिया
produce,उत्पादन
product,उत्पादन
production,उत्पादन
professional,व्यावसायिक
professor,प्राध्यापक
program,कार्यक्रम
project,प्रकल्प
property,मालमत्ता
protect,संरक्षित
prove,सिद्ध करणे
provide,प्रदान
public,सार्वजनिक
pull,पुल
purpose,उद्देश
push,पुश
put,ठेवले
quality,गुणवत्ता
question,प्रश्न
quickly,त्वरीत
quite,जोरदार
race,रेस
radio,रेडिओ
raise,वाढवा
range,श्रेणी
rate,दर
rather,त्याऐवजी
reach,पोहोच
read,वाचा
ready,तयार
real,वास्तविक
reality,वास्तविकता
realize,समजून घ्या
really,खरोखर
reason,कारण
receive,प्राप्त
recently,अलीकडे
recognize,ओळखा
record,विक्रम
red,लाल
reduce,कमी करणे
reflect,प्रतिबिंबित
region,प्रदेश
relate,संबंधित
relationship,नाते
religious,धार्मिक
remain,राहतात
remember,लक्षात ठेवा
remove,काढा
report,अहवाल
represent,प्रतिनिधित्व
Republican,रिपब्लिकन
require,आवश्यक
research,संशोधन
resource,संसाधन
respond,प्रतिसाद द्या
response,प्रतिसाद
responsibility,जबाबदारी
rest,उर्वरित
result,परिणाम
return,परत
reveal,प्रकट
rich,श्रीमंत
right,उजवीकडे
rise,उदय
risk,जोखीम
road,रस्ता
role,भूमिका
room,खोली
rule,नियम
run,रन
safe,सुरक्षित
same,त्याच
save,जतन करा
say,म्हणा
scene,देखावा
school,शाळा
science,विज्ञान
scientist,शास्त्रज्ञ
score,धावसंख्या
sea,समुद्र
season,हंगाम
seat,सीट
second,सेकंद
section,विभाग
security,सुरक्षा
see,पहा
seek,शोधा
seem,दिसते
sell,विक्री
send,पाठवा
senior,वरिष्ठ
sense,अर्थ
series,मालिका
serious,गंभीर
serve,सर्व्ह करावे
service,सेवा
set,सेट
seven,सात
several,अनेक
sex,लिंग
sexual,लैंगिक
shake,शेक
share,शेअर
shoot,शूट
short,लहान
shot,शॉट
should,पाहिजे
shoulder,खांदा
show,शो
side,बाजू
sign,चिन्ह
significant,महत्त्वपूर्ण
similar,समान
simple,सोपे
simply,फक्त
since,पासून
sing,गाणे
single,सिंगल
sister,बहिणी
sit,बसा
site,जागा
situation,परिस्थिती
six,सहा.
size,आकार
skill,कौशल्य
skin,त्वचा
small,लहान
smile,हसणे
so,म्हणून
social,सामाजिक
society,समाज
soldier,सैनिक
some,काही
somebody,कोणीतरी
someone,कोणीतरी
something,काहीतरी
sometimes,कधीकधी
son,मुलगा
song,गाणे
soon,लवकरच
sort,क्रमवारी
sound,आवाज
source,स्त्रोत
south,दक्षिण
space,जागा
speak,बोलू
special,विशेष
specific,विशिष्ट
speech,भाषण
spend,खर्च
sport,खेळ
spring,वसंत ऋतू
staff,कर्मचारी
stage,स्टेज
stand,उभे
standard,मानक
star,तारा
start,प्रारंभ
state,राज्य
statement,विधान
station,स्टेशन
stay,राहा
step,पाऊल
still,अजूनही
stock,स्टॉक
stop,थांबवा
store,स्टोअर
story,कथा
strategy,स्ट्रॅटेजी
street,रस्ता
strong,मजबूत
structure,संरचना
student,विद्यार्थी
study,अभ्यास
stuff,सामग्री
style,शैली
subject,विषय
successful,यशस्वी
such,अशी
suddenly,अचानक
suffer,ग्रस्त
suggest,सूचित
summer,उन्हाळा
support,समर्थन
sure,नक्कीच
surface,पृष्ठभाग
system,प्रणाली
table,टेबल
take,घ्या
talk,बोलणे
task,कार्य
tax,कर
teach,शिकवणे
teacher,शिक्षक
team,संघ
technology,तंत्रज्ञान
television,दूरदर्शन
tell,सांगा
ten,दहा
tend,कल
term,टर्म
test,चाचणी
than,पेक्षा
thank,धन्यवाद
that,ते
the,द
their,त्यांचे
them,त्यांना
themselves,स्वतःला
then,मग
theory,सिद्धांत
there,तेथे
these,हे
they,ते
thing,गोष्ट
think,विचार करा
third,तिसऱ्या
this,हे
those,ते
though,जरी
thought,विचार
thousand,हजारो
threat,धमकी
three,तीन
through,माध्यमातून
throughout,संपूर्ण
throw,फेकणे
thus,अशाप्रकारे
time,वेळ
to,करण्यासाठी
today,आज
together,एकत्र
tonight,आज रात्री
too,खूप
top,शीर्ष
total,एकूण
tough,tough
toward,दिशेने
town,शहर
trade,व्यापार
training,प्रशिक्षण
travel,प्रवास
treat,उपचार
treatment,उपचार
tree,झाड
trial,चाचणी
trip,ट्रिप
trouble,समस्या
TRUE,खरे
truth,सत्य
try,प्रयत्न
turn,वळण
TV,टीव्ही
under,अंतर्गत
understand,समजून घ्या
unit,युनिट
until,होईपर्यंत
up,अप
upon,यावर
us,यूएस
use,वापर
usually,सहसा
value,मूल्य
various,विविध
very,खूप
victim,बळी
view,पहा
violence,हिंसा
visit,भेट
voice,आवाज
vote,मतदान
wait,प्रतीक्षा करा
walk,चालणे
wall,भिंत
want,पाहिजे
war,युद्ध
watch,पहा
water,पाणी
way,मार्ग
we,आम्ही
weapon,शस्त्र
wear,कपडे घालणे
week,आठवडा
weight,वजन
well,ठीक आहे
west,पश्चिम
western,पश्चिम
what,काय
whatever,जे काही
when,कधी
where,कुठे
whether,की नाही
which,जे
while,करताना
white,पांढरा
who,Who
whole,संपूर्ण
whom,ज्या
whose,कोणाचे
why,का
wide,वाइड
wife,पत्नी
will,होईल
win,जिंकणे
wind,वारा
window,खिडकी
wish,इच्छा
with,सह
within,आत
without,शिवाय
woman,स्त्री
word,शब्द
work,काम
worker,कामगार
world,जग
worry,चिंता
would,होईल
write,लिहा
writer,लेखक
wrong,चुकीचे
yard,यार्ड
yeah,होय
year,वर्ष
yes,हो
yet,अद्याप
you,आपण
young,तरुण
your,तुझे
yourself,तू स्वतः